Array size, 50, sample 1 comparison, 544
Array size, 50, sample 1 data mv, 544
Array size, 100, sample 2 comparison, 2562
Array size, 100, sample 2 data mv, 2562
Array size, 500, sample 3 comparison, 5619
Array size, 500, sample 3 data mv, 499
Array size, 10000, sample 4 comparison, 176530
Array size, 10000, sample 4 data mv, Array size, 10000, 9999
Array size, 5000, sample 5 comparison, 13189421
Array size, 5000, sample 5 data mv, 5001
Array size, 10000, sample 6 comparison, 52760414
Array size, 10000, sample 6 data mv, 10001
